timestamp, power.draw [W]
2025/06/01 22:22:34.936, 3.10 W
2025/06/01 22:22:35.938, 3.34 W
2025/06/01 22:22:36.939, 2.96 W
2025/06/01 22:22:37.940, 3.04 W
2025/06/01 22:22:38.941, 3.01 W
2025/06/01 22:22:39.942, 3.35 W
2025/06/01 22:22:40.943, 3.19 W
2025/06/01 22:22:41.944, 2.95 W
2025/06/01 22:22:42.945, 3.18 W
2025/06/01 22:22:43.946, 3.21 W
2025/06/01 22:22:44.947, 3.40 W
2025/06/01 22:22:45.948, 4.08 W
2025/06/01 22:22:47.422, 3.71 W
2025/06/01 22:22:48.423, 3.69 W
2025/06/01 22:22:49.424, 3.73 W
2025/06/01 22:22:50.425, 2.49 W
2025/06/01 22:22:51.426, 2.87 W
2025/06/01 22:22:52.427, 2.78 W
2025/06/01 22:22:53.429, 2.75 W
2025/06/01 22:22:54.430, 2.76 W
2025/06/01 22:22:55.431, 2.42 W
