frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
214,0.221,994.850,0.149,1472.540,0.919,0.268,820.561,0.146,1509.443
215,0.244,901.110,0.150,1462.192,0.922,0.247,889.092,0.150,1466.565
216,0.219,1004.308,0.151,1455.066,0.934,0.425,517.559,0.148,1485.603
217,0.234,937.144,0.148,1488.824,0.942,0.259,849.073,0.145,1511.769
218,0.238,922.663,0.149,1474.121,0.931,0.284,772.467,0.150,1469.075
219,0.257,853.612,0.149,1473.805,0.985,0.378,581.804,0.149,1478.883
220,0.292,753.314,0.151,1454.141,0.985,0.324,678.302,0.148,1482.715
221,0.282,777.804,0.154,1430.214,0.948,0.241,912.728,0.147,1492.383
222,0.218,1008.142,0.162,1358.887,0.920,0.424,517.832,0.149,1477.292
223,0.237,927.523,0.179,1229.226,0.920,0.365,602.321,0.147,1493.032
224,0.226,970.524,0.151,1459.395,0.985,0.340,646.742,0.149,1473.488
225,0.356,617.099,0.146,1502.507,0.992,0.239,917.607,0.146,1505.141
226,0.283,776.221,0.146,1503.494,0.969,0.232,945.662,0.147,1497.265
227,0.273,805.827,0.149,1472.540,1.011,0.277,792.161,0.148,1480.797
228,0.274,802.062,0.149,1472.856,0.990,0.399,550.594,0.148,1481.755
229,0.256,858.092,0.150,1465.938,0.943,0.249,882.918,0.146,1509.775
230,0.216,1019.064,0.152,1448.925,0.933,0.325,676.098,0.147,1491.735
231,0.266,825.891,0.150,1460.016,0.918,0.310,708.247,0.148,1488.178
232,0.260,846.039,0.150,1461.881,0.991,0.227,968.607,0.146,1499.881
233,0.254,865.556,0.149,1474.754,0.920,0.246,894.652,0.147,1496.286
234,0.257,855.953,0.151,1458.465,0.923,0.333,658.906,0.150,1469.389
235,0.229,958.199,0.148,1483.036,0.916,0.314,699.018,0.150,1466.251
236,0.239,918.098,0.152,1448.008,1.053,0.311,705.699,0.146,1508.779
237,0.221,993.698,0.148,1480.158,0.989,0.334,656.888,0.147,1492.383
238,0.260,843.648,0.146,1501.193,0.990,0.398,551.434,0.147,1498.899
239,0.258,852.340,0.148,1483.677,0.933,0.242,909.585,0.146,1508.779
240,0.217,1012.154,0.148,1486.246,0.937,0.241,911.396,0.149,1470.648
241,0.224,981.904,0.148,1481.755,0.938,0.242,906.702,0.148,1486.889
242,0.223,987.411,0.152,1446.178,0.936,0.261,842.303,0.149,1472.224
243,0.311,706.353,0.146,1501.193,0.987,0.248,886.109,0.149,1474.438
244,0.250,877.951,0.150,1468.760,0.931,0.246,893.372,0.148,1488.501
245,0.219,1005.485,0.149,1473.488,0.933,0.228,963.443,0.146,1503.164
246,0.254,866.648,0.149,1478.247,0.992,0.242,906.104,0.146,1503.164
247,0.253,869.722,0.151,1451.068,0.992,0.234,939.581,0.149,1476.657
248,0.254,864.902,0.150,1464.375,0.999,0.241,911.517,0.147,1493.357
249,0.220,998.467,0.149,1472.856,0.955,0.223,983.169,0.150,1460.637
250,0.222,987.979,0.149,1471.278,0.939,0.271,811.542,0.149,1474.121
251,0.226,971.210,0.148,1487.533,0.907,0.233,941.126,0.148,1486.889
252,0.223,985.710,0.148,1482.715,0.942,0.259,849.914,0.148,1480.158
253,0.299,734.537,0.152,1445.570,0.941,0.219,1004.161,0.146,1501.849
254,0.218,1006.812,0.148,1484.318,0.919,0.295,744.331,0.146,1501.849
255,0.308,713.769,0.148,1479.839,0.919,0.304,722.861,0.146,1509.775
256,0.256,857.556,0.148,1481.436,0.994,0.296,742.882,0.150,1462.815
257,0.232,948.667,0.149,1479.521,1.018,0.432,509.041,0.146,1503.823
258,0.267,824.205,0.150,1462.504,0.983,0.285,769.955,0.146,1509.775
259,0.295,745.705,0.150,1467.818,0.997,0.367,597.915,0.147,1497.265
260,0.216,1016.500,0.150,1469.703,0.964,0.235,934.084,0.146,1509.775
261,0.251,874.596,0.151,1450.762,0.977,0.233,942.418,0.146,1503.494
262,0.216,1017.856,0.149,1477.292,0.924,0.243,905.626,0.148,1485.281
263,0.218,1007.402,0.156,1411.109,0.935,0.263,836.862,0.149,1474.438
264,0.214,1025.763,0.148,1484.318,0.931,0.239,920.560,0.148,1481.755
265,0.216,1018.007,0.151,1450.762,0.941,0.449,489.727,0.148,1487.856
266,0.225,975.765,0.149,1477.610,0.939,0.236,930.540,0.146,1506.462
267,0.252,870.825,0.148,1485.603,0.938,0.238,922.911,0.149,1476.339
268,0.244,899.339,0.149,1478.565,0.938,0.239,919.327,0.147,1493.357
269,0.213,1031.309,0.148,1482.715,0.936,0.239,919.450,0.148,1481.755
270,0.226,972.173,0.148,1481.116,0.962,0.292,751.335,0.147,1498.572
271,0.237,928.401,0.149,1475.388,0.948,0.349,630.123,0.146,1502.835
272,0.222,991.689,0.149,1478.247,0.933,0.256,858.092,0.148,1487.211
273,0.236,929.155,0.151,1458.775,0.936,0.360,610.026,0.148,1485.603
274,0.268,820.169,0.150,1463.439,0.984,0.288,764.213,0.148,1481.755
275,0.270,812.887,0.148,1483.036,0.991,0.278,789.157,0.148,1487.856
276,0.273,805.922,0.150,1467.505,1.031,0.292,752.653,0.146,1500.537
277,0.263,835.437,0.148,1482.715,0.953,0.282,777.980,0.150,1465.938
278,0.254,864.357,0.149,1477.610,0.976,0.247,889.898,0.147,1493.682
279,0.220,999.048,0.153,1438.302,0.990,0.293,750.514,0.249,882.124
280,0.231,949.192,0.150,1461.259,0.925,0.326,673.446,0.149,1474.438
281,0.251,875.600,0.148,1483.356,0.941,0.339,647.779,0.146,1509.111
282,0.232,946.314,0.147,1493.357,0.917,0.235,936.761,0.163,1348.744
283,0.226,972.448,0.152,1449.843,0.921,0.255,861.754,0.149,1472.540
284,0.254,864.793,0.150,1463.751,0.935,0.233,941.255,0.148,1483.997
285,0.269,817.241,0.148,1481.116,0.938,0.250,877.166,0.150,1463.751
286,0.220,998.321,0.149,1479.521,0.938,0.241,910.188,0.146,1509.775
287,0.214,1027.605,0.149,1471.593,0.944,0.248,885.766,0.152,1441.927
288,0.225,976.320,0.148,1481.116,0.930,0.231,951.164,0.148,1480.797
289,0.252,871.488,0.149,1477.292,0.945,0.415,529.656,0.147,1496.612
290,0.227,968.470,0.149,1476.022,0.935,0.325,676.698,0.150,1460.637
291,0.232,945.662,0.149,1471.593,0.920,0.263,835.844,0.148,1484.960
292,0.218,1006.074,0.149,1477.292,0.934,0.228,961.688,0.148,1480.478
293,0.249,880.766,0.148,1481.116,0.982,0.242,908.983,0.146,1509.111
294,0.222,988.548,0.147,1493.032,1.010,0.257,855.846,0.147,1493.682
295,0.270,813.754,0.149,1472.224,0.987,0.240,916.383,0.149,1478.247
296,0.227,967.788,0.151,1459.395,0.925,0.225,975.765,0.148,1488.178
297,0.227,967.379,0.152,1447.703,0.967,0.299,734.380,0.150,1468.132
298,0.258,850.230,0.147,1496.286,0.993,0.251,876.606,0.147,1492.059
299,0.251,876.047,0.148,1480.158,1.015,0.310,708.905,0.145,1518.791
300,0.274,803.376,0.151,1452.911,1.019,0.408,538.250,0.150,1461.259
301,0.255,862.512,0.148,1484.639,0.934,0.238,922.539,0.147,1491.087
302,0.223,987.127,0.148,1481.436,0.996,0.250,879.751,0.148,1482.395
303,0.293,749.777,0.148,1485.924,0.981,0.297,740.478,0.149,1470.648
304,0.232,946.445,0.151,1454.449,0.914,0.342,643.228,0.151,1457.846
305,0.221,994.418,0.148,1483.356,0.912,0.285,770.214,0.151,1455.066
306,0.253,869.281,0.151,1451.068,0.920,0.309,710.151,0.146,1509.775
307,0.219,1005.043,0.148,1480.158,0.958,0.278,790.793,0.149,1472.224
308,0.222,990.688,0.149,1478.565,0.930,0.237,925.523,0.150,1465.938
309,0.269,817.046,0.149,1476.975,1.010,0.242,909.826,0.147,1494.332
310,0.239,919.573,0.150,1463.439,0.951,0.486,452.365,0.146,1507.786
311,0.251,874.040,0.148,1482.715,0.931,0.282,777.892,0.150,1461.881
312,0.253,866.977,0.148,1483.997,1.017,0.328,670.290,0.145,1510.771
313,0.226,972.448,0.151,1456.918,0.936,0.236,929.155,0.147,1491.087
314,0.219,1002.256,0.149,1475.388,0.919,0.227,967.924,0.146,1501.849
315,0.236,930.540,0.152,1443.746,0.963,0.269,817.143,0.147,1491.735
316,0.223,984.156,0.149,1477.292,0.922,0.349,630.066,0.148,1482.715
317,0.281,783.216,0.148,1485.924,0.953,0.324,678.705,0.146,1509.111
318,0.258,852.870,0.149,1479.202,0.991,0.253,866.867,0.147,1494.332
319,0.265,830.184,0.148,1483.036,0.991,0.352,624.110,0.146,1500.209
320,0.250,878.962,0.154,1422.215,0.935,0.265,829.482,0.146,1502.835
321,0.219,1004.455,0.149,1478.565,0.986,0.216,1016.951,0.146,1500.537
322,0.219,1004.602,0.149,1478.565,0.942,0.232,947.359,0.148,1482.715
323,0.253,869.722,0.148,1483.356,0.990,0.292,752.983,0.148,1489.147
324,0.222,991.832,0.149,1476.657,0.947,0.274,803.282,0.148,1489.469
325,0.226,971.347,0.150,1469.389,0.970,0.329,668.463,0.146,1508.779
326,0.240,916.383,0.148,1484.639,0.921,0.217,1013.798,0.149,1478.883
327,0.226,971.210,0.149,1473.805,0.989,0.387,567.101,0.156,1406.772
328,0.256,859.166,0.148,1481.755,0.986,0.252,873.595,0.146,1500.864
