frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
223,N/A,N/A,0.227,967.515,0.918,N/A,N/A,0.159,1381.303
224,N/A,N/A,0.253,867.963,0.990,N/A,N/A,0.159,1385.763
225,N/A,N/A,0.261,842.820,0.988,N/A,N/A,0.226,973.827
226,N/A,N/A,0.227,969.017,0.954,N/A,N/A,0.188,1169.355
227,N/A,N/A,0.232,948.536,0.968,N/A,N/A,0.192,1144.409
228,N/A,N/A,0.264,831.189,0.976,N/A,N/A,0.157,1399.033
229,N/A,N/A,0.270,815.009,1.028,N/A,N/A,0.222,988.833
230,N/A,N/A,0.268,820.169,1.028,N/A,N/A,0.230,953.939
231,N/A,N/A,0.278,789.429,0.908,N/A,N/A,0.159,1385.763
232,N/A,N/A,0.282,778.775,0.931,N/A,N/A,0.179,1230.327
233,N/A,N/A,0.281,783.216,0.922,N/A,N/A,0.159,1378.529
234,N/A,N/A,0.225,978.267,0.914,N/A,N/A,0.182,1207.820
235,N/A,N/A,0.265,828.681,0.929,N/A,N/A,0.219,1001.671
236,N/A,N/A,0.268,820.855,0.964,N/A,N/A,0.219,1002.549
237,N/A,N/A,0.262,839.317,0.925,N/A,N/A,0.217,1012.453
238,N/A,N/A,0.264,832.096,0.927,N/A,N/A,0.184,1193.543
239,N/A,N/A,0.227,966.018,0.926,N/A,N/A,0.157,1400.174
240,N/A,N/A,0.263,835.945,0.922,N/A,N/A,0.176,1248.219
241,N/A,N/A,0.281,782.056,0.907,N/A,N/A,0.185,1186.531
242,N/A,N/A,0.218,1010.070,0.919,N/A,N/A,0.256,859.919
243,N/A,N/A,0.220,998.467,0.927,N/A,N/A,0.234,940.481
244,N/A,N/A,0.286,768.662,0.925,N/A,N/A,0.222,990.830
245,N/A,N/A,0.263,836.251,0.990,N/A,N/A,0.186,1184.484
246,N/A,N/A,0.262,837.168,0.920,N/A,N/A,0.157,1400.174
247,N/A,N/A,0.259,846.770,0.931,N/A,N/A,0.171,1285.612
248,N/A,N/A,0.256,858.844,0.924,N/A,N/A,0.158,1395.054
249,N/A,N/A,0.258,852.340,0.918,N/A,N/A,0.161,1368.092
250,N/A,N/A,0.259,849.914,0.911,N/A,N/A,0.231,952.616
251,N/A,N/A,0.228,965.068,0.987,N/A,N/A,0.172,1279.861
252,N/A,N/A,0.228,962.497,0.930,N/A,N/A,0.246,893.255
253,N/A,N/A,0.271,809.723,0.915,N/A,N/A,0.179,1226.591
254,N/A,N/A,0.268,818.605,0.926,N/A,N/A,0.159,1377.700
255,N/A,N/A,0.243,902.768,0.927,N/A,N/A,0.319,687.953
256,N/A,N/A,0.222,990.830,0.919,N/A,N/A,0.183,1200.219
257,N/A,N/A,0.282,778.863,0.946,N/A,N/A,0.159,1383.250
258,N/A,N/A,0.224,982.747,0.944,N/A,N/A,0.181,1215.732
259,N/A,N/A,0.227,967.515,0.980,N/A,N/A,0.183,1198.753
260,N/A,N/A,0.224,978.964,0.987,N/A,N/A,0.226,973.689
261,N/A,N/A,0.268,820.365,0.915,N/A,N/A,0.238,922.539
262,N/A,N/A,0.275,797.683,0.936,N/A,N/A,0.259,848.129
263,N/A,N/A,0.240,915.283,0.928,N/A,N/A,0.160,1370.003
